,Location,Points,Gold,Preferred Cheese, Group,Sub  Group
Barnacle Beautician ,Sunken City,"26,000","2,500",,Deep Sea Dwellers,Barnacled Bunch
Barracuda ,Sunken City,"38,500","4,000",,Deep Sea Dwellers,Predator Pack
Bartender ,"Claw Shot City
Gnawnian Express Station","4,750","5,000",,Wild Bunch,Crew
Bat ,"Catacombs
Forbidden Grove
Great Gnarled Tree
Mousoleum
Town of Digby","3,375","3,000",,The Shadow Clan,
Battle Cleric ,Zokor,"50,000","8,760",,Citizens of Zokor,Fealty Sworn Soldiers
Bear ,"Calm Clearing
Great Gnarled Tree",310,575,,Forest Guild,
Beast Tamer ,Nerg Plains,"5,000","3,125",,The Nerg Tribe,
Berserker ,King's Gauntlet,425,210,Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Melee Mice
Betta ,Sunken City,"28,000","2,535",,Deep Sea Dwellers,Finned Friends
Big Bad Behemoth Burroughs ,Burroughs Rift,"250,000","21,000",Terre Ricotta,Rift Walkers,Burroughs Rift
Big Bad Burroughs ,Town of Digby,"22,700","24,500",Limelight,Digby Dirt Dwellers,
Biohazard ,Toxic Spill,"64,000","6,300",Rancid Radioactive Blue,The Polluted,
Bionic ,"Bazaar
Harbour
Laboratory
Meadow
Mountain
Town of Digby
Town of Gnawnia",300,550,,Indigenous Mice,
Birthday ,Hunt Birthday,900,750,See current Hunt Birthday location,Event Mice,Birthday
Bitter Root ,Fungal Cavern,"25,000","2,000",,Fungal Fiends,Fungal Fodder
Black Diamond Racer ,Great Winter Hunt,"18,000","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Black Mage ,King's Gauntlet,"4,440","3,500",Gauntlet Cheese Tier 5,Gauntlet Gladiators,Tier 5: Magic Mice
Black Powder Thief ,Gnawnian Express Station,"9,000","8,000",,Train Robbers,Fueler
Black Widow ,Many locations.,480,10,"Gnarled
Radioactive Blue
SUPER|brie+
Wicked Gnarly",Indigenous Mice,
Blacksmith ,Muridae Market,"21,000","6,000",,Muridae Market Mice,
Bloomed Sylvan ,Whisker Woods Rift,"44,400","7,180","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Bog Beast ,Toxic Spill,"11,500","4,700",Rancid Radioactive Blue,The Polluted,
Bonbon Gummy Globlin ,Halloween,"40,000","5,000",See current Halloween location,Event Mice,Halloween
Bookborn ,Crystal Library,"11,900",950,,Zurreal's Breed,
Borean Commander,Great Winter Hunt,"15,000","8,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Bottled ,S.S. Huntington III,3360,660,,Aquatic Order,
Bottom Feeder ,Sunken City,"19,100","1,900",,Deep Sea Dwellers,Barnacled Bunch
Boulder Biter ,Burroughs Rift,"70,000","14,000",Terre Ricotta,Rift Walkers,Burroughs Rift
Bounty Hunter ,Claw Shot City,"6,000","4,000",,Wild Bunch,Misc
Brawny ,"Gnawnia Rift
Furoma Rift (Outside Only)","19,500","2,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Breakdancer ,Hunt Birthday,"1,500",950,See current Hunt Birthday location,Event Mice,Birthday
Briegull ,S.S. Huntington III,360,440,,Aquatic Order,
Brimstone ,Balack's Cove,"11,200","2,300","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Brown ,"Harbour
King's Arms
Meadow
Mountain
Town of Gnawnia
Windmill",115,150,,Indigenous Mice,
Bruticle ,Seasonal Garden,"16,560","5,040",,Seasonal Soldiers,Winter
Buccaneer ,S.S. Huntington III,4290,2750,,Aquatic Order,
Buckethead ,Hunt Birthday,900,"1,300",See current Hunt Birthday location,Event Mice,Birthday
Builder ,Great Winter Hunt,"12,000",900,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Burglar ,"Bazaar
Harbour
King's Arms
Laboratory
Tournament Hall","1,420","1,250","Brie
Gilded
SUPER|brie+",Indigenous Mice,
Calalilly ,Living Garden,"15,250","2,050",,Living Garden Mice,
Calligraphy ,Lunar New Year,"1,888",888,See current Lunar New Year location,Event Mice,Lunar New Year
Camoflower ,Living Garden,"11,000","1,250",,Living Garden Mice,
Camofusion ,Twisted Garden,"19,500","2,850",Duskshade Camembert,Living Garden Mice,
,,,,Lunaria Camembert,,
Candy Cane ,Great Winter Hunt,"3,165",700,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Candy Cat ,Halloween,"4,250","1,000",See current Halloween location,Event Mice,Halloween
Candy Goblin ,Halloween,800,"2,500",See current Halloween location,Event Mice,Halloween
Cannonball ,Gnawnian Express Station,"5,000","7,500",,Train Robbers,Automice
Captain ,S.S. Huntington III,"6,500","5,000",,Aquatic Order,
Captain Croissant ,Windmill,"1,000","1,000",Grilled Cheese,Indigenous Mice,
Caravan Guard ,Fiery Warpath (Waves 1-3,900,900,,The Marching Flame,Misc
Cardshark ,Claw Shot City,"9,000","15,000",,Wild Bunch,Ringleaders
Carefree Cook ,Spring Egg Hunt,"2,200","1,200",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Caretaker ,Cape Clawed,"1,100",725,,The Nerg Tribe,
,Nerg Plains,,,,,
Carmine the Apothecary,Living Garden,"12,500",800,Duskshade Camembert,Living Garden Mice,
Carnivore ,Sunken City,"70,000","5,550",,Deep Sea Dwellers,Predator Pack
Cavalier ,King's Gauntlet,"1,300",700,Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Melee Mice
Cavern Crumbler ,Fungal Cavern,"42,000","3,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Centaur ,"Great Gnarled Tree
Lagoon","3,800",960,,Forest Guild,
Centaur Ranger ,Whisker Woods Rift,"150,000","22,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Chameleon ,"Calm Clearing
Cape Clawed
Great Gnarled Tree
Nerg Plains",250,550,,Forest Guild,
Champion ,Elub Shore,"13,800","3,360",Shell,The Elub Tribe,
Cherry ,Calm Clearing,"6,000","3,000",Cherry Cheese,Forest Guild,
Cherry Sprite ,Whisker Woods Rift,"82,500","22,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Chess Master,Zugzwang's Tower,"119,600","19,000",Checkmate,Wizard's Pieces,Misc
Chipper ,"Iceberg
Slushy Shoreline","4,525","1,235",,Icewing's Invasion,Tunnel Rat
Chitinous ,Jungle of Dread,"44,405","5,845",Pungent Havarti,The Dreaded Horde,
Chocolate Gold Foil ,Spring Egg Hunt,"7,000","2,500",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Chocolate Overload ,Spring Egg Hunt,"1,200",350,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Christmas Tree ,Great Winter Hunt,"17,500","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Chrono ,Acolyte Realm,"19,750","12,250",Runic,The Forgotten Mice,
Circuit Judge ,Claw Shot City,"15,000","9,500",,Wild Bunch,Ringleaders
City Noble ,Sunken City,"17,000","1,100",,Deep Sea Dwellers,Sunken City Citizens
City Worker ,Sunken City,"19,000",700,,Deep Sea Dwellers,Sunken City Citizens
Clockwork Samurai ,King's Gauntlet,150,210,,Gauntlet Gladiators,Tier 1: Puppet Mice
Clownfish ,Sunken City,"35,880","3,440",,Deep Sea Dwellers,Finned Friends
Clump ,Burroughs Rift,"37,000","4,800",Terre Ricotta,Rift Walkers,Burroughs Rift
Clumsy Carrier ,Sunken City,"28,100","5,000",Fishy Fromage,Deep Sea Dwellers,Sunken City Citizens
Coal Shoveller ,"Claw Shot City
Gnawnian Express Station","6,000","3,500",,Wild Bunch,Crew
Cobweb ,Halloween,500,700,See current Halloween location,Event Mice,Halloween
Coco Commander ,Spring Egg Hunt,"6,900",500,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Confused Courier ,Great Winter Hunt,900,400,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Conjurer ,Nerg Plains,"6,875","4,500",,The Nerg Tribe,
Conqueror ,Nerg Plains,"7,560","3,200",,The Nerg Tribe,
Cook ,S.S. Huntington III,"4,090",90,SUPER|brie+,Aquatic Order,
Coral ,Sunken City,"26,000","2,500",,Deep Sea Dwellers,Coral Corral
Coral Cuddler ,Sunken City,"19,100","1,900",,Deep Sea Dwellers,Coral Corral
Coral Dragon ,Sunken City,"36,000","2,750",,Deep Sea Dwellers,Coral Corral
Coral Gardener ,Sunken City,"34,200","2,700",,Deep Sea Dwellers,Coral Corral
Coral Guard ,Sunken City,"35,355","2,800",,Deep Sea Dwellers,Coral Corral
Coral Harvester ,Sunken City,"33,950","2,500",,Deep Sea Dwellers,Coral Corral
Coral Queen ,Sunken City,"37,000","2,850",,Deep Sea Dwellers,Coral Corral
Core Sample ,Town of Digby,"2,600","1,000",Limelight,Digby Dirt Dwellers,
Corridor Bruiser ,"Labyrinth
Zokor","50,000","8,000",,Citizens of Zokor,Hallway Wanderers
Corrupt ,Cursed City,"8,250","1,250",Graveblossom Camembert,Lost City Mice,
Costumed Dragon ,Lunar New Year,"2,888",888,See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Horse ,Lunar New Year,"2,888","5,888",See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Monkey ,Lunar New Year,"2,888","5,888",See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Rabbit ,Lunar New Year,"1,888",888,See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Rooster ,Lunar New Year,"2,888","5,888",See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Sheep ,Lunar New Year,"2,888","5,888",See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Snake ,Lunar New Year,"2,888","5,888",See current Lunar New Year location,Event Mice,Lunar New Year
Costumed Tiger ,Lunar New Year,"1,602",888,See current Lunar New Year location,Event Mice,Lunar New Year
Count Vampire ,Burroughs Rift,"35,000","4,600","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Cowardly ,"Meadow
Town of Gnawnia",190,300,,Indigenous Mice,
Cowbell ,King's Gauntlet,700,800,Gauntlet Cheese Tier 4,Gauntlet Gladiators,Tier 4: Bard Mice
Crabolia ,Sunken City,"24,300","2,250",,Deep Sea Dwellers,Barnacled Bunch
Crag Elder ,Fungal Cavern,"48,000","3,150",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Cranky Caterpillar ,Whisker Woods Rift,"41,250","4,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Crate Camo ,Gnawnian Express Station,"5,000","7,000",,Train Robbers,Depot Worker
Crazed Goblin ,Whisker Woods Rift,"57,150","5,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Creepy Marionette,Halloween,"16,000","3,000",See current Halloween location,Event Mice,Halloween
Crimson Commander ,Fiery Warpath (Waves 1-3),"10,000","1,000",SUPER|brie+,The Marching Flame,Misc
Crimson Ranger ,Fiery Warpath (Waves 1-3),"22,000","3,000",,The Marching Flame,Archer
Crimson Titan ,Fiery Warpath (Wave 3),"20,000","3,300",,The Marching Flame,Warrior
Crimson Watch ,Fiery Warpath (Wave 3),"24,200","3,600",,The Marching Flame,Scout
Crown Collector ,"Bazaar
Crystal Library
S.S. Huntington III
Tournament Hall","1,000","1,000",SUPER|brie+,Indigenous Mice,
Crystal Behemoth ,Fungal Cavern,"375,000","60,000",Diamond Cheese,Fungal Fiends,Diamond Devourers
Crystal Cave Worm ,Fungal Cavern,"80,000","20,000",Mineral Cheese,Fungal Fiends,Mineral Munchers
Crystal Controller ,Fungal Cavern,"70,000","8,000",Mineral Cheese,Fungal Fiends,Mineral Munchers
Crystal Golem ,Fungal Cavern,"150,000","35,000",Gemstone Cheese,Fungal Fiends,Gemstone Gorgers
Crystal Lurker ,Fungal Cavern,"85,000","20,000",Gemstone Cheese,Fungal Fiends,Gemstone Gorgers
Crystal Observer ,Fungal Cavern,"75,000","21,000",Gemstone Cheese,Fungal Fiends,Gemstone Gorgers
Crystal Queen ,Fungal Cavern,"100,000","24,000",Gemstone Cheese,Fungal Fiends,Gemstone Gorgers
Crystalback ,Fungal Cavern,"61,000","4,000",Mineral Cheese,Fungal Fiends,Mineral Munchers
Crystalline Slasher ,Fungal Cavern,"50,000","3,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Cupcake Camo ,Hunt Birthday,"2,500","1,000",See current Hunt Birthday location,Event Mice,Birthday
Cupcake Candle Thief ,Hunt Birthday,"1,000","3,000",See current Hunt Birthday location,Event Mice,Birthday
Cupcake Cutie ,Hunt Birthday,"3,000",900,See current Hunt Birthday location,Event Mice,Birthday
Cupcake Runner ,Hunt Birthday,"1,200","2,000",See current Hunt Birthday location,Event Mice,Birthday
Cupid ,"Valentine's Day
Lunar New Year",875,900,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Curious Chemist ,Great Gnarled Tree,"2,400",400,Gnarled,Forest Guild,
Cursed ,Lost City,"6,500","1,250",Dewthief Camembert,Lost City Mice,
Cursed Enchanter ,Cursed City,"18,500","2,600",Graveblossom Camembert,Lost City Mice,
Cursed Engineer ,Cursed City,"20,500","1,900",Graveblossom Camembert,Lost City Mice,
Cursed Librarian ,Cursed City,"19,500","3,200",Graveblossom Camembert,Lost City Mice,
Cursed Thief ,Cursed City,"22,500","2,350",Graveblossom Camembert,Lost City Mice,
Cute Crate Carrier ,Gnawnian Express Station,"4,000","6,000",,Train Robbers,Depot Worker
Cuttle ,Sunken City,"11,600","1,250",,Deep Sea Dwellers,Finned Friends
Cyber Miner ,Burroughs Rift,"39,000","4,900",Terre Ricotta,Rift Walkers,Burroughs Rift
Cybernetic Specialist ,Burroughs Rift,"27,500","4,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Cyborg ,Gnawnia Rift,"54,000","5,000",Riftiago,Rift Walkers,Gnawnia Rift
Cyclops ,"Calm Clearing
Lagoon","2,800","2,800",,Forest Guild,
Cyclops Barbarian ,Whisker Woods Rift,"125,000","27,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Dance Party ,Hunt Birthday,"1,000",900,See current Hunt Birthday location,Event Mice,Birthday
Dancer ,King's Gauntlet,"2,900","1,700",Gauntlet Cheese Tier 4,Gauntlet Gladiators,Tier 4: Bard Mice
Dancing Assassin,Furoma Rift (Inside Only),"120,000","9,000",String Cheese,Rift Stalkers,Furoma Rift
Dangerous Duo ,Gnawnian Express Station,"11,000","14,000",,Train Robbers,Raider
Dark Magi ,Cursed City,"195,000","24,500",Graveblossom Camembert,Lost City Mice,
Dark Templar ,"Labyrinth
Zokor","80,800","12,750",,Citizens of Zokor,Fealty Sworn Soldiers
Davy Jones ,Balack's Cove,"9,000","2,000","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Decrepit Tentacle Terror,Zokor,"100,000","31,300",,Citizens of Zokor,Hidden Remnants
Deep ,Iceberg,"142,550","24,525",,Icewing's Invasion,Misc
Deep Sea Diver ,Sunken City,"36,000","2,750",,Deep Sea Dwellers,Barnacled Bunch
Defender ,Nerg Plains,"9,505","4,200",Gumbo,The Nerg Tribe,
Dehydrated ,Twisted Garden,"2,000","2,000",Duskshade Camembert,Living Garden Mice,
Demolitions ,Town of Digby,"4,700","1,900",Limelight,Digby Dirt Dwellers,
Deranged Deckhand ,Sunken City,"37,000","2,850",,Deep Sea Dwellers,Barnacled Bunch
Derpicorn ,Seasonal Garden,"2,500",750,,Seasonal Soldiers,Spring
Derpshark ,Sunken City,"40,000","5,500",,Deep Sea Dwellers,Predator Pack
Derr Chieftain ,Derr Dunes,"10,035","12,280",Crunchy,The Derr Tribe,
Derr Lich ,Balack's Cove,"32,112","13,508","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Desert Archer ,Fiery Warpath (Wave 1),"12,800","2,100",,The Marching Flame,Archer
Desert Architect ,Muridae Market,"10,000","2,400",SUPER|brie+,Muridae Market Mice,
Desert Nomad ,Muridae Market,"40,000","4,000",,Muridae Market Mice,
Desert Soldier ,Fiery Warpath (Wave 1),"11,500","2,400",,The Marching Flame,Warrior
Desperado ,Claw Shot City,"9,500","9,000",,Wild Bunch,Ringleaders
Destructoy ,Great Winter Hunt,"12,600","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Diamond ,"Dojo
Harbour
King's Arms
Meadow
Mountain
Tournament Hall
Town of Digby
Town of Gnawnia
Training Grounds
WIndmill","1,200",600,,Indigenous Mice,
Diamondhide ,Fungal Cavern,"290,000","75,000","Gemstone Cheese
Diamond Cheese",Fungal Fiends,Diamond Devourers
Dinosuit ,Hunt Birthday,"1,400",750,See current Hunt Birthday location,Event Mice,Birthday
Dire Lycan ,Halloween,"5,000","1,200",See current Halloween location,Event Mice,Halloween
Dirt Thing ,Fungal Cavern,"49,500","3,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Dojo Sensei,Pinnacle Chamber,"28,665","34,500",Onyx Gorgonzola,Followers of Furoma,
Doktor ,Burroughs Rift,"35,000","3,750","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Double Black Diamond Racer ,Great Winter Hunt,"19,000","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Draconic Warden ,Dracano,"12,895","1,245",Inferno Havarti,Draconic Brood,
Dragon ,Dracano,"74,200","39,940",Inferno Havarti,Draconic Brood,
Dread Pirate rt,Sunken City,"33,950","2,500",,Deep Sea Dwellers,Barnacled Bunch
Dream Drifter ,Gnawnia Rift,"30,000","3,450","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Drudge ,"Labyrinth
Zokor","32,500","4,988",,Citizens of Zokor,Fealty Sworn Soldiers
Drummer ,King's Gauntlet,"2,800",800,Gauntlet Cheese Tier 4,Gauntlet Gladiators,Tier 4: Bard Mice
Dumpling Chef ,Training Grounds,"2,886","3,000",SUPER|brie+,Followers of Furoma,
Dumpling Delivery,Furoma Rift (Outside Only),"46,000","1,750",String Cheese,Rift Stalkers,Furoma Rift
Dunehopper ,Sand Dunes,"13,500","1,650",Dewthief Camembert,Sand Dunes Mice,
Dwarf ,"Bazaar
Calm Clearing
Great Gnarled Tree
Harbour
King's Arms
Laboratory
Meadow
Mountain
Tournament Hall
Town of Digby
Town of Gnawnia
Training Grounds
Windmill",225,450,,Indigenous Mice,
Eagle Owl ,"Calm Clearing
Great Gnarled Tree
Lagoon","5,300","2,250",,Forest Guild,
Eclipse ,King's Gauntlet,"379,000","300,000",Gauntlet Cheese Tier 8,Gauntlet Gladiators,Tier 8: The Eclipse
Eel ,Sunken City,"28,000","2,535",,Deep Sea Dwellers,Finned Friends
Effervescent ,Crystal Library,"16,000","2,400",,Zurreal's Breed,
Egg Painter ,Spring Egg Hunt,"6,500",900,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Egg Scrambler ,Spring Egg Hunt,"2,750",850,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Eggscavator ,Spring Egg Hunt,"6,500","1,200",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Eggsplosive Scientist ,Spring Egg Hunt,"6,200",800,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
El Flamenco ,Hunt Birthday,"5,000","3,000",See current Hunt Birthday location,Event Mice,Birthday
Elder ,Cape Clawed,"11,405",645,Shell,The Elub Tribe,
Elf ,Great Winter Hunt,"9,920","8,090",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Elite Guardian ,Sunken City,"25,500","4,205",Fishy Fromage,Deep Sea Dwellers,Sunken City Citizens
Elub Chieftain ,Elub Shore,"16,560","7,520",Shell,The Elub Tribe,
Elub Lich ,Balack's Cove,"52,992","8,272",Vanilla Stilton,Balack's Banished,
,,,,Vengeful Vanilla Stilton,,
Elven Princess ,"Calm Clearing
Great Gnarled Tree
Lagoon","2,700",400,,Forest Guild,
Enginseer ,Sunken City,"17,800",324,Fishy Fromage,Deep Sea Dwellers,Sunken City Citizens
Enlightened Labourer,Furoma Rift (Outside Only),"50,000","3,800","Brie String
Magical String
Maki String",Rift Stalkers,Furoma Rift
Enslaved Spirit ,Balack's Cove,"20,000",900,"Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Escape Artist ,King's Gauntlet,200,295,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Essence Collector ,Lost City,"22,500","4,250",Dewthief Camembert,Lost City Mice,
Essence Guardian ,Cursed City,"22,500","4,250",Graveblossom Camembert,Lost City Mice,
Ethereal Enchanter ,Lost City,"13,500","2,580",Dewthief Camembert,Lost City Mice,
Ethereal Engineer,Lost City,"15,000","1,200",Dewthief Camembert,Lost City Mice,
Ethereal Guardian ,Zokor,"50,000","8,760",,Citizens of Zokor,Lost Scholars
Ethereal Librarian,Lost City,"14,500","1,850",Dewthief Camembert,Lost City Mice,
Ethereal Thief ,Lost City,"16,500","1,650",Dewthief Camembert,Lost City Mice,
Evil Scientist ,Burroughs Rift,"34,000","2,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Excitable Electric ,Gnawnia Rift,"26,250","2,888","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Exo-Tech ,Zokor,"50,000","8,760",,Citizens of Zokor,Tech Engineers
Explorator ,Crystal Library,"5,500",500,,Zurreal's Breed,
Extreme Everysports ,Great Gnawnian Games,"5,000","5,000",See current Great Gnawnian Games location,Event Mice,Great Gnawnian Games
Fairy ,"Great Gnarled Tree
Lagoon","5,775",930,,Forest Guild,
Fall Familiar ,Seasonal Garden,"9,940",830,SUPER|brie+,Seasonal Soldiers,Fall
Falling Carpet ,Muridae Market,"9,800","1,600",,Muridae Market Mice,
Farmhand ,Windmill,"1,000","1,400",SUPER|brie+,Indigenous Mice,
Farrier ,"Claw Shot City
Gnawnian Express Station","5,000","7,000",,Wild Bunch,Crew
Fencer ,King's Gauntlet,300,210,Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Melee Mice
Fetid Swamp ,Jungle of Dread,"20,830","5,155",Crunchy Havarti,The Dreaded Horde,
Fiddler ,King's Gauntlet,"4,090",800,Gauntlet Cheese Tier 4,Gauntlet Gladiators,Tier 4: Bard Mice
Field ,"Meadow
Windmill",200,200,,Indigenous Mice,
Fiend ,King's Gauntlet,"72,000","50,000",Gauntlet Cheese Tier 7,Gauntlet Gladiators,Tier 7: Dust Mice
Finder ,Nerg Plains,"3,550","1,935",,The Nerg Tribe,
Firebreather ,Seasonal Garden,"15,180","4,620",,Seasonal Soldiers,Summer
Firefly ,Seasonal Garden,"6,600","2,125",,Seasonal Soldiers,Summer
Flame Archer ,Fiery Warpath (Wave 2),"19,900","2,700",,The Marching Flame,Archer
Flame Ordnance ,Fiery Warpath (Wave 3),"33,000","1,600",,The Marching Flame,Artillery
Flame Warrior ,Fiery Warpath (Wave 2),"18,000","3,000",,The Marching Flame,Warrior
Floating Spore ,Fungal Cavern,"39,000","1,500",,Fungal Fiends,Fungal Fodder
Flutterby ,Crystal Library,"12,000","1,000",,Zurreal's Breed,
Flying ,"King's Arms
Meadow
Tournament Hall
Town of Gnawnia
Windmill",450,450,SUPER|brie+,Indigenous Mice,
Fog ,"Harbour
Mountain",800,800,SUPER|brie+,Indigenous Mice,
Force Fighter Blue,Hunt Birthday,"1,750","1,750",See current Hunt Birthday location,Event Mice,Birthday
Force Fighter Green,Hunt Birthday,"2,250","2,250",See current Hunt Birthday location,Event Mice,Birthday
Force Fighter Pink,Hunt Birthday,"2,000","2,000",See current Hunt Birthday location,Event Mice,Birthday
Force Fighter Red,Hunt Birthday,"1,750","2,000",See current Hunt Birthday location,Event Mice,Birthday
Force Fighter Yellow,Hunt Birthday,"2,000","1,750",See current Hunt Birthday location,Event Mice,Birthday
Forever Alone ,"Valentine's Day
Lunar New Year","1,200",600,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Foxy ,"Calm Clearing
Great Gnarled Tree","1,650","1,500",SUPER|brie+,Forest Guild,
Free Skiing ,Great Winter Hunt,"17,500","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Frightened Flying Fireworks ,Great Winter Hunt,"2,017","2,017",See current Great Winter Hunt location,Event Mice,New Year
Frigid Foreman ,Great Winter Hunt,"3,460","1,750",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Frog ,"Calm Clearing
Great Gnarled Tree",325,400,,Forest Guild,
Frostbite ,Seasonal Garden,"11,400","5,040",,Seasonal Soldiers,Winter
Frostlance Guard,Iceberg,"7,435",935,,Icewing's Invasion,Misc
Frostwing Commander,Iceberg,"22,550","7,525",,Icewing's Invasion,Misc
Frosty Snow ,Mountain,600,300,SUPER|brie+,Indigenous Mice,
Frozen ,Mountain,300,300,,Indigenous Mice,
