Cheese,Cost,Materials Used,Remarks,,Charms,Cost,Materials Used,Remarks,,Raw Materials,Cost
Maki String ,"2,492","Crafting:
3 Piece Recipe",,,Gnarled Charm,,Simple Orb,"Funnels all rage from mice caught in Whisker Woods Rift to Crazed Clearing faction.
Attract Naturalist
Riftwalker Set bonus when paired with Rift Bases or Rift Weapons",,,
Marble ,50,,,,Golden Anchor Charm,,Flawless Orb,"Prevents Balack's Cove wash out
Reduces progress to 10 meters per hunt when diving in Sunken City and mice drop an additional Sand Dollar",,,
Marble String ,300,,,,Greasy Glob Charm,,,"Attract Raider mice , Dangerous Duo in Raider River phase of Gnawnian Express Station.
No effect during Trap Checks.",,,
Marshmallow Monterey,0,Spring Egg Hunt,,,Growth Charm,,Divine Orb,"100 power, +3% power bonus, +4 luck, and +5% attraction bonus when armed with Soiled Base",,,
Master Fusion ,830,,,,Grub Salt Charm,200,1 Ber Essence,Controls Sand Crypts Minigame,,,
Master Fusion (3 piece),553,,,,Grub Scent Charm,500,1 Cynd Essence,Controls Sand Crypts Minigame,,,
Mineral ,972,"Crafting:
3 Piece Recipe
6 Piece Recipe",,,Grubling Bonanza Charm,15000,,Trigger a Grubling Stampede in the in Sand Dunes,,,
Mineral (6 piece),486,,,,Grubling Chow Charm,350,1 Aleth Essence,Controls Sand Dunes Minigame,,,
Moon ,36,2 magic essence,,,Haunted Ultimate Luck Charm,,,,,,
Moon (Craft),36,,,,Horsepower Charm,,,Special Attraction during Lunar New Year.,,,
Mozzarella ,0,"Gifting
Loyalty Chest",,,Hydro Charm,,Flawless Orb,Changes any trap's Power type to Hydro,,,
Null Onyx Gorgonzola,"15,150",,,,Lantern Oil Charm,,,"Reveals an extra clue when one is found.
The effect stacks with Lantern Oil.",,,
Null Onyx Gorgonzola (3 piece),"10,100",,,,Luck Charm,400,,,,,
Nutmeg ,0,Great Winter Hunt,,,Lucky Power Charm,800,,,,,
Onyx Gorgonzola,"1,140",,,,Lucky Rabbit Charm,,,,,,
Polluted Parmesan ,"0
-
1,700
gold","Potion:
Polluted Parmesan Potion",,,Lucky Valentine Charm,,,,,,
Pungent Havarti ,"1,109",,,,Magmatic Crystal Charm,,,Attract Magmatic Crystal Thief and Magmatic Golem mice in Daredevil Canyon phase of Gnawnian Express Station,,,
Radioactive Blue ,6,,,,Mining Charm,600,,Additional 30% power bonus against Digby Dirt Dwellers,,,
Radioactive Blue (Corrupted Potion),,,,,Mobile Charm,,,,,,
Radioactive Blue (Greater Potion),,,,,Monger Charm,12000,60 Flameshards,Warmonger drops greater variety of charms and a higher quantity of orbs,,,
Radioactive Blue (Potion),,,,,Monkey Fling Charm,,,Special Attraction during Lunar New Year.,,,
Rancid Radioactive Blue ,450,"2 radioactive blue, sludge",,,Nanny Charm,,,Changes any trap's Power type to Parental,,,
Rancid Radioactive Blue (Crafting),450,some stuff,,,Nerg Power Charm,,,600 power and 5% power bonus in Nerg Plains,,,
Rancid Radioactive Blue (Potion),450,,,,Nightshade Farming Charm,400,"5 Cavern Fungi
2 Minerals",Boosts Nightshade loot in Fungal Cavern,,,
Rift Combat ,830,,,,Nitropop Charm,,,Special Attraction during Lunar New Year.,,,
Rift Combat (3 piece),553,magic essence,,,Oxygen Burst Charm,,,Mice in Sunken City drop an additional Oxygen Canister,,,
Rift Glutter ,830,,,,Party Charm,3500,,,,,
Rift Glutter (3 piece),553,,,,Polluted Charm,,Flawed Orb,4 Luck with Polluted Base or Refined Pollutinum Base,,,
Rift Rumble ,"1,505",,,,Power Charm,200,,,,,
Rift Rumble (3 piece),"1,003",magic essence,,,Prospector's Charm,450,,"Special attraction in Mountain, Claw Shot City",,,
Rift Susheese ,830,,,,Prospector's Charm (Crafted),400,"1x Simple Orb
1x Meteorite Piece
16x charmbits","Special attraction in Mountain, Claw Shot City",,,
Rift Susheese (3 piece),553,magic essence,,,Rainbow Luck Charm,,,,,,
Riftiago ,"0
-
1,000
gold","Potion:
Riftiago Potion",,,Ramming Speed Charm,,,Special Attraction during Lunar New Year.,,,
Resonator ,427,,,,Red Double Sponge Charm,,Divine Orb,Doubles Red Dewdrops in Twisted Garden,,,
Resonator (4 piece),320,magic essence,,,Red Sponge Charm,400,1 Ber Essence,Controls Twisted Garden Minigame,,,
Rockforth ,0,Ronza's Traveling Shoppe,,,Regal Charm,,,,,,
Rumble ,230,,,,Rift Power Charm,,Divine Orb,Riftwalker Set bonus when paired with Rift Base or Rift weapon.,,,
Runic ,"1,350",,,,Rift Ultimate Luck Charm,,,Riftwalker Set bonus when paired with Rift Base or Rift weapon.,,,
Runic (2 piece),675,magic essence,,,Rift Ultimate Lucky Power Charm,,,Riftwalker Set bonus when paired with Rift Base or Rift weapon.,,,
Runic (Potion),,,,,Rift Ultimate Power Charm,,,Riftwalker Set bonus when paired with Rift Base or Rift weapon.,,,
"Runny 
Availability is tied to years in which Olympic Games are held.",0,Great Gnawnian Games,,,Rift Vacuum Charm,1000,,"Chance of mouse dropping Calcified Rift Mist.
Riftwalker Set bonus when paired with Rift Base or Rift weapon.",,,
Seasoned Gouda,"0
-
600
gold","Great Winter Hunt

Potion:
Seasoned Gouda Potion",,,Roof Rack Charm,,,"Attract Raider mice, Dangerous Duo in Raider River phase of Gnawnian Express Station.
No effect during Trap Checks.",,,
Shell ,597,,,,Rook Crumble Charm,,,300% power bonus against Mystic Rook and Technic Rook,,,
Shell (20 piece),448,magic essence,,,Rotten Charm,,Flawed Orb,Attract the Lab Technician in Toxic Spill,,,
Snowball Bocconcini,0,Great Winter Hunt,,,Safeguard Charm,5000,,Avoid Cursed mice in Lost City and Corrupt mice in Cursed City,,,
Spicy Havarti ,"1,642",,,,Scholar Charm (Charged),,,Ability to attract Zurreal the Eternal in Crystal Library,,,
SUPER|brie+,,"Crafting:
1 Piece recipe

General Store in:
King's Arms GS

Donation
Give To Friends
Marketplace",,,Scientist's Charm,,Flawless Orb,Increased Radioactive Blue Cheese Potion loot,,,
Susheese ,64,,,,Searcher Charm,350,1 Aleth Essence,Controls Lost City Minigame,,,
Sweet Havarti ,842,,,,Shadow Charm,,,Changes any trap's Power Type to Shadow,,,
Swiss ,100,,,,Shattering Charm,,Epic Orb,"Attracts Shattered Carmine, Dark Magi, and King Scarab",,,
Swiss String ,800,,,,Shamrock Charm,,,,,,
Terre Ricotta ,"0
-
1,500
gold","Potion:
Terre Ricotta Potion",,,Sheriff's Badge Charm,,,Ensures the next Bounty Hunter Mouse will be caught and will drop Sealed Wanted Poster,,,
Toxic Brie,642,,Power Bonus: 20%,,Shielding Charm,,,"Prevents mice from stealing Points, Gold, and extra Cheese",,,
Toxic SUPER|brie+,642,"Crafting:
1 Piece Recipe

Give To Friends
Marketplace",Power Bonus: 20%,,Shine Charm,300,1 Ber Essence,Controls Cursed City Minigame,,,
Undead Emmental,"0
-
900
gold","Potion:
Undead Emmental Potion",,,Shortcut Charm,,,See current Halloween event page,,,
Vanilla Stilton ,818,,,,Smart Water Jet Charm,,,"Dive 500 meters with Successful Catch.
Automatically disarms.",,,
Vanilla Stilton (Magic Essence),614,,,,Snakebite Charm,,,Special Attraction during Lunar New Year.,,,
Vengeful Vanilla Stilton ,"1,262",,,,Snowball Charm,,,20% Power Bonus with Festive Weapons,,,
Vengeful Vanilla Stilton (3 piece),316,3x magic essence,,,Soap Charm,,Flawed Orb,5000 power and +10 luck in the Toxic Spill,,,
White Cheddar ,18,,,,Softserve Charm,650,,Changes which mice are attracted in Slushy Shoreline,,,
Wicked Gnarly ,"200
-
800
gold",Wicked Gnarly Potion,,,Spellbook Charm,,,500 Power and 8% Power Bonus with Spellbook Base,,,
Wicked Gnarly (Greater Potion),,,,,Spiked Anchor Charm,,Flawless Orb,"Prevents Balack's Cove wash out
Reduces progress to 10 meters per hunt when diving in Sunken City",,,
,,,,,Sponge Charm,200,1 Aleth Essence,Controls Living Garden Minigame,,,
,,,,,Spooky Charm,600,,See current Halloween event page,,,
,,,,,Spore Charm,,Flawed Orb,None,,,
,,,,,Stagnant Charm,,Simple Orb,"Funnels all rage from mice caught in Whisker Woods Rift to Deep Lagoon faction.
Attract Grizzled Silth
Riftwalker Set bonus when paired with Rift Bases or Rift Weapons",,,
,,,,,Sticky Charm,,,Prevents losing progress when failing to catch a Bergling in the Iceberg,,,
,,,,,Striker Charm,,,Double Football Footlocker loot,,,
,,,,,Super Ancient Charm,,,,,,
,,,,,Super Attraction Charm,,,,,,
,,,,,Super Brain Charm,,Simple Orb,Increases the chance of encountering the various zombie mice.,,,
,,,,,Super Cactus Charm,,,"2,500 Power with Claw Shot Base and S.L.A.C. or S.L.A.C. II in Claw Shot City",,,
,,,,,Super Luck Charm,1250,,,,,
,,,,,Super Nightshade Farming Charm,,Flawless Orb,Mice throughout the Kingdom drop Nightshade as loot,,,
,,,,,Super Polluted Charm,,Simple Orb,6 luck when armed with the Polluted Base or Refined Pollutinum Base,,,
,,,,,Super Power Charm,900,,,,,
,,,,,Super Regal Charm,,,,,,
,,,,,Super Rift Vacuum Charm,,,"Chance of mouse dropping 2 Calcified Rift Mist.
Riftwalker Set bonus when paired with Rift Base or Rift weapon.",,,
,,,,,Super Rotten Charm,,Flawed Orb,Attract Hazmat and Lab Technician in Toxic Spill,,,
,,,,,Super Salt Charm,,Divine Orb,Double salting in King Grub Minigame in Sand Crypts,,,
,,,,,Super Soap Charm,,Simple Orb,"8,000 power and +12 luck in the Toxic Spill",,,
,,,,,Super Spore Charm,,Simple Orb,,,,
,,,,,Super Warpath Archer Charm,100,1 Magic Essence,Increased encounter and 50% power bonus against Archer unit.,,,
,,,,,Super Warpath Cavalry Charm,,Simple Orb,Increased encounter and a power bonus against Cavalry unit.,,,
,,,,,Super Warpath Commander's Charm,300,"1 Warpath Commander's Charm
3 Flameshards",Increased encounter and a power bonus against Crimson Commander,,,
,,,,,Super Warpath Mage Charm,,Simple Orb,Increased encounter and a power bonus against Mage unit,,,
,,,,,Super Warpath Scout Charm,100,1 Magic Essence,Increased encounter and 50% power bonus against Scout unit,,,
,,,,,Super Warpath Warrior Charm,100,1 Magic Essence,Increased encounter and 50% power bonus against Warrior unit,,,
,,,,,Super Wealth Charm,,,"Mice drop 10% more gold when caught, up to a maximum of 4,500 extra gold.",,,
,,,,,Supply Schedule Charm,,,Attract Warehouse Manager during Supply Depot phase of Gnawnian Express Station.,,,
,,,,,Tarnished Charm,3000,,Converts to Chrome Charm upon Successful Catch.,,,
,,,,,Taunting Charm,,Divine Orb,Maintains Rage level despite Successful Catch of Monstrous Black Widow or Cyclops Barbarian or Centaur Ranger or Tri-dra,,,
,,,,,Torch Charm,,,"Bonus +10 luck in Great Gnawnian Games
A random item will be placed in inventory upon consumption.",,,
,,,,,Treasure Trawling Charm,,,A random Sunken City related item will be placed in inventory upon consumption.,,,
,,,,,Ultimate Charm,,Epic Orb,Guarantees catch of next mouse encountered. Is not always consumed.,,,
,,,,,Ultimate Anchor Charm,,Divine Orb,Guarantees catch of next mouse encountered in Sunken City. Is not always consumed.,,,
,,,,,Ultimate Ancient Charm,,,,,,
,,,,,Ultimate Attraction Charm,,,,,,
,,,,,Ultimate Luck Charm,,Epic Orb,,,,
,,,,,Ultimate Lucky Power Charm,,,,,,
,,,,,Ultimate Polluted Charm,,Divine Orb,15 luck when armed with Polluted Base or Refined Pollutinum Base,,,
,,,,,Ultimate Power Charm,,Divine Orb,,,,
,,,,,Ultimate Spore Charm,,Divine Orb,,,,
,,,,,Uncharged Scholar Charm,"6,300",,Successful Catch of Chess Master converts it to Scholar Charm.,,,
,,,,,Unstable Charm,,,A random charm will be placed in inventory upon consumption.,,,
,,,,,Valentine Charm,,,,,,
,,,,,Warpath Archer Charm,800,1 Ionized Salt,Increased encounter of Archer unit.,,,
,,,,,Warpath Cavalry Charm,,Simple Orb,Increased encounter of Cavalry unit,,,
,,,,,Warpath Commander's Charm,,,Increased encounter of Crimson Commander,,,
,,,,,Warpath Mage Charm,,Simple Orb,Increased encounter of Mage unit,,,
,,,,,Warpath Scout Charm,800,1 Ionized Salt,Increased encounter of Scout unit,,,
,,,,,Warpath Warrior Charm,800,1 Ionized Salt,Increased encounter of Warrior unit,,,
,,,,,Water Jet Charm,3000,"3 Sand Dollars
50 Damaged Coral Fragments
50 Mouse Scales
50 Barnacles",Dive 500 meters with Successful Catch.,,,
,,,,,Wax Charm,,1 War Scrap,Provides a progress bonus of 1 foot upon catching a Bergling in the Iceberg.,,,
,,,,,Wealth Charm,,,"Mice drop 5% more gold when caught, up to a maximum of 1,800 extra gold.",,,
,,,,,Wild Growth Charm,,,"300 power, +8% power bonus, +9 luck, and +20% attraction bonus with Soiled Base.",,,
,,,,,Winter Charm,600,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Builder Charm,,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Hoarder Charm,,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Miser Charm,,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Screw Charm,600,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Spring Charm,600,,Special Attraction during Great Winter Hunt.,,,
,,,,,Winter Wood Charm,600,,Special Attraction during Great Winter Hunt.,,,
,,,,,Yellow Double Sponge Charm,,Divine Orb,Doubles Yellow Dewdrops in Twisted Garden.,,,
,,,,,Yellow Sponge Charm,400,1 Ber Essence,Controls Twisted Garden Minigame,,,
